,date,open,high,low,close,volume
0,2017-12-01 00:00:00,9837.00000000,9889.95000000,9712.00000000,9889.95000000,18.83778600
1,2017-12-01 00:05:00,9889.95000000,9900.03000000,9840.04000000,9880.05000000,18.65775000
2,2017-12-01 00:10:00,9880.05000000,9900.01000000,9871.13000000,9894.96000000,18.85431100
3,2017-12-01 00:15:00,9894.89000000,9894.89000000,9850.00000000,9871.44000000,22.39208300
4,2017-12-01 00:20:00,9850.01000000,9871.44000000,9800.00000000,9828.89000000,24.73593400
5,2017-12-01 00:25:00,9828.89000000,9830.00000000,9799.00000000,9800.00000000,32.33798400
6,2017-12-01 00:30:00,9800.00000000,9864.70000000,9800.00000000,9829.01000000,23.32592700
7,2017-12-01 00:35:00,9844.50000000,9844.50000000,9803.00000000,9844.45000000,9.01928000
8,2017-12-01 00:40:00,9835.01000000,9879.95000000,9741.13000000,9800.03000000,17.24425600
9,2017-12-01 00:45:00,9784.99000000,9785.00000000,9665.99000000,9700.09000000,35.63280600
10,2017-12-01 00:50:00,9699.98000000,9699.99000000,9600.00000000,9676.99000000,30.19619700
